id,wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi
157470,Q222086,157470,Mia_Hamm,Mia Hamm,SOCCER PLAYER,0.0,F,MiaHamm,True,41,18,"Selma, Alabama",32.41638889,-87.02472222,100580.0,United States,1972-03-17,1972.0,,,,,,,,United States,,False,3.083634775177208,48.0,46854.0,4.807034575574463,54.63730305100574
344402,Q166207,344402,Kristine_Lilly,Kristine Lilly,SOCCER PLAYER,19.3959298857012,F,KristineLilly,True,25,16,New York City,40.71274,-74.005974,645042.0,United States,1971-07-22,1971.0,,,,,,,,United States,,False,3.2349832353828867,49.0,9338.0,3.5049990703002707,49.55492099053345
2839399,Q1200809,2839399,Desmond_Armstrong,Desmond Armstrong,SOCCER PLAYER,40.268038875520986,F,,True,15,15,"Washington, D.C.",38.90472222,-77.01638889,108956.0,United States,1964-11-02,1964.0,,,,,,,,United States,,False,4.382319677654845,56.0,1456.0,2.169679093037224,47.51772883613496
591241,Q233112,591241,Abby_Wambach,Abby Wambach,SOCCER PLAYER,0.0,F,abbywambach,True,35,15,"Rochester, New York",43.16555556,-77.61138889,126641.0,United States,1980-06-02,1980.0,,,,,,,,United States,,False,1.6032876872142965,40.0,34985.0,5.202061937087711,46.88721958744468
52010401,Q27663023,52010401,Faiq_Bolkiah,Faiq Bolkiah,SOCCER PLAYER,35.97008890220447,F,,True,15,13,Los Angeles,34.05,-118.25,18110.0,United States,1998-05-09,1998.0,,,,,,,,United States,,False,3.017696681664215,22.0,100002.0,2.5454967324067286,43.551488974550544
148553,Q256207,148553,Brandi_Chastain,Brandi Chastain,SOCCER PLAYER,49.36000896000347,F,brandichastain,True,16,13,"San Jose, California",37.33333333,-121.9,53446.0,United States,1968-07-21,1968.0,,,,,,,,United States,,False,1.434864896348621,52.0,3674.0,3.5011803093893894,42.03984573283449
29882780,Q2652968,29882780,Christen_Press,Christen Press,SOCCER PLAYER,292.9956366231393,F,christenpress,True,24,12,Los Angeles,34.05,-118.25,18110.0,United States,1988-12-29,1988.0,,,,,,,,United States,,True,1.830543665224416,32.0,17047.0,4.015846407459891,41.65655059947271
56810449,Q27778126,56810449,Yuka_Momiki,Yuka Momiki,SOCCER PLAYER,43.75385418006908,F,nicole_m09,True,35,12,New York City,40.71274,-74.005974,645042.0,United States,1996-04-09,1996.0,,,,,,,,United States,,True,2.423269625149865,24.0,10515.0,4.173950099244323,40.631255575969625
1439396,Q437398,1439396,Julie_Foudy,Julie Foudy,SOCCER PLAYER,212.55516347259768,F,JulieFoudy,True,18,12,San Diego,32.715,-117.1625,28504.0,United States,1971-01-23,1971.0,,,,,,,,United States,,False,1.4859557029789918,49.0,1718.0,3.589399012636574,39.81598513198925
21764048,Q292507,21764048,Becky_Sauerbrunn,Becky Sauerbrunn,SOCCER PLAYER,96.03032754861763,F,beckysauerbrunn,True,22,11,St. Louis,38.62722222,-90.19777778,27687.0,United States,1985-06-06,1985.0,,,,,,,,United States,,True,1.719734752968208,35.0,4179.0,3.99811228667267,38.53203483376755
1282604,Q240714,1282604,Heather_Mitts,Heather Mitts,SOCCER PLAYER,174.5201799408409,F,heathermitts,True,20,11,Cincinnati,39.1,-84.51666667,18522615.0,United States,1978-06-09,1978.0,,,,,,,,United States,,False,1.6978280113673228,42.0,1603.0,3.822477986182073,38.22716433450012
18733898,Q433496,18733898,Lauren_Holiday,Lauren Holiday,SOCCER PLAYER,44.86372186446271,F,laurencheney8,True,17,10,Indianapolis,39.76861111,-86.15805556,57707.0,United States,1987-09-30,1987.0,,,,,,,,United States,,True,1.2754763003979797,33.0,5008.0,3.7069364913524057,35.68390363891796
2240825,Q271127,2240825,Heather_O'Reilly,Heather O'Reilly,SOCCER PLAYER,70.81086647571644,F,,True,16,10,"East Brunswick, New Jersey",40.426247,-74.418244,125412.0,United States,1985-01-02,1985.0,,,,,,,,United States,,False,1.530560113683511,35.0,1777.0,3.4325796358561886,34.634603757987534
40220789,Q15126043,40220789,Kellyn_Acosta,Kellyn Acosta,SOCCER PLAYER,27.35612270297449,F,KellynAcosta,True,16,10,"Plano, Texas",33.01972222,-96.69888889,151140.0,United States,1995-07-24,1995.0,,,,,,,,United States,,False,2.499183939980635,25.0,2536.0,2.945103459371083,34.62661661313103
30721691,Q3304415,30721691,Meghan_Klingenberg,Meghan Klingenberg,SOCCER PLAYER,53.64950996356024,F,meghankling,True,15,9,Pittsburgh,40.43972222,-79.97638889,25101.0,United States,1988-08-02,1988.0,,,,,,,,United States,,False,1.3765995432756493,32.0,1369.0,3.3947426082319963,32.080665611756686
